,undescribed
0,lacdfucttr
1,cer1_bt
2,alaglu
3,pai16
4,pgi17
5,2dmmql9
6,udpxyl
7,mql11
8,12m3omyrsACP
9,hspg
10,ckdn
11,2mbutACP
12,strch2
13,aihpdcoa
14,acgalidour
15,mqn10
16,pgpi14
17,12mmyrsACP
18,14m3opalmACP
19,1itdecg3p
20,clpni14
21,15mpalmACP
22,mql9
23,gACPm
24,lacnnttr
25,levanb
26,dsT_antigen
27,core7
28,ihpdcoa
29,cdpdaihpdecg
30,s2l2n2m2mn
31,cspg_c_degr
32,apio_D
33,6mocACP
34,13m3hmyrsACP
35,cdpdipdecg
36,hspg_degr_10
37,glyasp
38,lmn2
39,l2a6o
40,cspg_a_degr
41,epACPm
42,pecticgal
43,oligofru4
44,hspg_degr_15
45,rhamnogalurI
46,pmACP
47,14mtpalm2eACP
48,11mtddec2eACP
49,acgal6p
50,cspg_a
51,kdnp
52,gncore2
53,mqn11
54,7ocholate
55,pgi15
56,gam26s
57,lacnttr
58,2dmmql11
59,glc_bD
60,10mtddec2eACP
61,6mheptACP
62,pei14
63,8mtdec2eACP
64,4m3hpentACP
65,mqn9
66,arabttr
67,3opACPm
68,hspg_degr_5
69,clpni16
70,6m3oheptACP
71,4mpentACP
72,peai17
73,indlac
74,s2l2n2m2masn
75,paai17
76,clpnai15
77,egACPm
78,amylose300
79,lps_bt
80,4m3opentACP
81,psi15
82,alagly
83,cspmd
84,m2mn
85,15mtpalm2eACP
86,pald
87,6m3hocACP
88,glycogen1500
89,pullulan1200
90,7m3oocACP
91,10fthf5glu
92,hspg_degr_8
93,gncore1
94,lmn30
95,peai15
96,leugly
97,5mhexACP
98,core2
99,15m3opalmACP
100,ncptrc
101,cspg_c
102,14mpentdecACP
103,fucneulacnhx
104,pei16
105,5forthf
106,starch1200
107,6hmhptpp
108,14m3hpalmACP
109,1ihpdecg3p
110,2s5epchc
111,s2l2n2m2m
112,hspg_degr_9
113,8mnonACP
114,stys
115,Tn_antigen
116,acerA
117,core4
118,1aipdecg3p
119,udpidour
120,homogal
121,mantr
122,mql10
123,pgi14
124,pgpi17
125,cspg_ab_rest
126,3ogACPm
127,hspg_degr_3
128,1aihpdecg3p
129,hspg_degr_13
130,10m3oddcaACP
131,hspg_degr_6
132,cdpdihdecg
133,1ihdecg3p
134,11m3hddcaACP
135,paai15
136,1ipdecg3p
137,alathr
138,l2n2m2mn
139,11mddcaACP
140,15m3hpalmACP
141,9mdcaACP
142,ihdcoa
143,leuleu
144,14m3hpentdecACP
145,12m3otridecACP
146,nicrns
147,phppa
148,psi14
149,core6
150,isocapr
151,lipidX_bt
152,cps_bt
153,10m3hundecACP
154,3hpACPm
155,2mmale
156,Ser_Thr
157,argarg
158,dkdglcn
159,mbenz
160,lacnfucpt
161,2dmmql7
162,9m3hdcaACP
163,pgai15
164,u2hga_bt
165,pe_cer1_bt
166,pgpi15
167,cdpdaipdecg
168,psi17
169,14mtpentdec2eACP
170,hspg_degr_14
171,7mocACP
172,sphmyln_bt
173,acgalglcur
174,hspg_degr_7
175,pmACPm
176,psi16
177,amannan140
178,cspg_b_degr
179,succitr_L
180,malcoam
181,5m3ohexACP
182,10mtundec2eACP
183,pgpi16
184,alaasp
185,2mmal
186,idour
187,apoC_Lys
188,sT_antigen
189,u23ga_bt
190,s2l2fn2m2masn
191,xu1p_L
192,4m3hhexACP
193,10mundecACP
194,f1a
195,manttr
196,10m3hddcaACP
197,psai17
198,pgi16
199,metala
200,pect
201,phearg
202,12mtridecACP
203,pai14
204,lacndfuchx
205,3hgACPm
206,acgalidour2s
207,apoC_Lys_btn
208,12m3hmyrsACP
209,chtbs
210,hspg_degr_12
211,gchola
212,kestopt
213,7mtoct2eACP
214,neulacnttr
215,pgai17
216,clpni15
217,arabinan101
218,core5
219,9m3odcaACP
220,glypro
221,cspg_c_rest
222,8m3odcaACP
223,2mpropACP
224,kdolipid4_bt
225,levanttr
226,5mthex2eACP
227,8m3ononACP
228,cdpdihpdecg
229,2omfuc
230,ha_deg1
231,9mtdec2eACP
232,6mtoct2eACP
233,2omxyl
234,3ddlhept
235,strch1
236,pai15
237,dt5hsu
238,core_lps_bt
239,8mtnon2eACP
240,isobut
241,ipdcoa
242,e3mmal
243,itdcoa
244,8m3hdcaACP
245,galam
246,isoval
247,6m3hheptACP
248,3mbutACP
249,unsdigalur
250,ggdp
251,arabinogal
252,lipidAds_bt
253,hspg_degr_2
254,14m3opentdecACP
255,12mttritec2eACP
256,5m3hhexACP
257,Largn
258,13mtmrs2eACP
259,glyglu
260,pgpai17
261,10m3oundecACP
262,clpni17
263,n2m2mn
264,pgpai15
265,cdpditdecg
266,8mdcaACP
267,cdpglc
268,kdn
269,aipdcoa
270,kdolipid4L_bt
271,levantttr
272,2fuclac
273,clpnai17
274,6mthept2eACP
275,manpt
276,plac
277,8m3hnonACP
278,2dmmql10
279,pai17
280,rhamnogalurII
281,galam6p
282,3fuclac
283,4mthex2eACP
284,hspg_degr_11
285,12m3htridecACP
286,6m3oocACP
287,14mpalmACP
288,core3
289,manb
290,hspg_degr_4
291,4m3ohexACP
292,pei17
293,10mddcaACP
294,ha
295,lipidA_bt
296,4mhexACP
297,13mmyrsACP
298,pei15
299,11m3oddcaACP
300,u2ga_bt
301,psai15
302,adphep7p_LD
303,kesto
304,cdpddg
305,levan1000
306,7m3hocACP
307,sTn_antigen
308,hspg_rest
309,2ameph
310,kestottr
311,ha_pre1
312,hspg_degr_1
313,4mtpent2eACP
314,12mtmrs2eACP
315,13m3omyrsACP
316,T_antigen
317,12ethd
318,mn
319,cspg_b
320,core8
321,glyasn
